PARTKEY,NAME,MFGR,BRAND,TYPE,SIZE,CONTAINER,RETAILPRICE,COMMENT
16996,salmon orange chartreuse hot chiffon,Manufacturer#1,Brand#12,LARGE ANODIZED STEEL,1,MED BOX,1912.99,ly even accounts sleep
18986,lawn saddle pale lavender rosy,Manufacturer#2,Brand#25,STANDARD BRUSHED COPPER,1,WRAP BAG,1904.98,sleep slyl
3999,cornflower pink powder tan ghost,Manufacturer#4,Brand#41,STANDARD PLATED NICKEL,1,MED JAR,1902.99, quickly ca
8992,maroon plum red linen ghost,Manufacturer#5,Brand#52,PROMO PLATED STEEL,1,SM CASE,1900.99,deposits should h
6993,thistle blanched peach red navy,Manufacturer#2,Brand#23,SMALL BURNISHED BRASS,1,MED JAR,1899.99,cial theodolites alon
15984,dim sky blue red salmon,Manufacturer#1,Brand#11,PROMO BURNISHED STEEL,1,MED CAN,1899.98,ously a
18981,gainsboro blush medium sienna beige,Manufacturer#1,Brand#15,MEDIUM POLISHED TIN,1,LG BOX,1899.98,c ideas
10987,rose slate royal wheat linen,Manufacturer#2,Brand#22,PROMO POLISHED COPPER,1,WRAP PKG,1897.98,uffy 
19978,dark lawn blanched cyan lime,Manufacturer#5,Brand#53,STANDARD POLISHED STEEL,1,MED DRUM,1897.97,y. pending
11985,sky navajo lawn almond blue,Manufacturer#1,Brand#13,SMALL BURNISHED NICKEL,1,LG CAN,1896.98,! slyly regular id
5990,yellow sandy burnished spring seashell,Manufacturer#2,Brand#23,ECONOMY BURNISHED COPPER,1,SM PACK,1895.99,gular theodolites us
13976,burlywood misty cyan navy pink,Manufacturer#1,Brand#14,STANDARD ANODIZED NICKEL,1,MED CAN,1889.97,arefully blith
3976,aquamarine pink spring wheat brown,Manufacturer#2,Brand#25,MEDIUM PLATED COPPER,1,SM PKG,1879.97,ironic accou
7969,moccasin orchid yellow brown ghost,Manufacturer#5,Brand#52,PROMO POLISHED TIN,1,MED CASE,1876.96,le ca
4968,spring smoke powder dodger brown,Manufacturer#3,Brand#32,MEDIUM POLISHED TIN,1,WRAP CAN,1872.96,e. special, iron
8958,ghost pale chocolate dark lace,Manufacturer#5,Brand#53,SMALL PLATED STEEL,1,LG BOX,1866.95,old packages h
19947,blush chartreuse salmon forest brown,Manufacturer#5,Brand#53,SMALL PLATED COPPER,1,JUMBO BAG,1866.94,ut the
18946,firebrick ivory cream frosted gainsboro,Manufacturer#4,Brand#42,ECONOMY POLISHED STEEL,1,JUMBO BAG,1864.94,ages. always re
961,cornflower chocolate floral burnished green,Manufacturer#1,Brand#15,PROMO BRUSHED BRASS,1,SM PACK,1861.96,fully. f
15946,rose rosy papaya lavender maroon,Manufacturer#2,Brand#24,SMALL ANODIZED STEEL,1,WRAP PACK,1861.94,ly accounts. bli
12947,forest ivory burlywood rose puff,Manufacturer#4,Brand#41,STANDARD ANODIZED STEEL,1,WRAP PKG,1859.94,ndencies nag quick
3954,deep steel midnight maroon yellow,Manufacturer#5,Brand#52,STANDARD POLISHED BRASS,1,LG PKG,1857.95,are slyly a
4949,puff blush green smoke pale,Manufacturer#1,Brand#11,ECONOMY BURNISHED TIN,1,LG PACK,1853.94,he slyly even acc
12937,coral almond tomato peru azure,Manufacturer#3,Brand#33,STANDARD PLATED NICKEL,1,WRAP CAN,1849.93, unusual deposits su
944,medium sandy olive wheat turquoise,Manufacturer#3,Brand#33,SMALL PLATED STEEL,1,LG CAN,1844.94, requests nag furiou
9932,sandy dim rose blanched thistle,Manufacturer#3,Brand#33,SMALL PLATED STEEL,1,JUMBO PKG,1841.93, carefully. pending 
18922,burlywood antique seashell blush puff,Manufacturer#2,Brand#25,STANDARD PLATED STEEL,1,SM DRUM,1840.92,silent packa
8931,white almond smoke aquamarine deep,Manufacturer#3,Brand#33,STANDARD BRUSHED TIN,1,MED BOX,1839.93,ly unu
938,chartreuse peach spring cornflower tan,Manufacturer#2,Brand#22,LARGE BRUSHED NICKEL,1,JUMBO CASE,1838.93,ajole slyly r
1936,thistle purple spring sky slate,Manufacturer#2,Brand#23,ECONOMY BRUSHED TIN,1,SM JAR,1837.93,ckly 
2930,burnished wheat bisque powder cyan,Manufacturer#3,Brand#35,SMALL BRUSHED NICKEL,1,LG JAR,1832.93,lyly unu
7925,moccasin lemon orchid violet blue,Manufacturer#3,Brand#31,PROMO BURNISHED BRASS,1,SM CASE,1832.92,ut the blithely 
13919,powder puff royal chiffon black,Manufacturer#3,Brand#33,PROMO POLISHED BRASS,1,WRAP BOX,1832.91,le blithely reques
1924,sandy almond salmon bisque chocolate,Manufacturer#4,Brand#42,MEDIUM ANODIZED STEEL,1,JUMBO CAN,1825.92,ts al
